latitude,longitude,temperature
-11.4,130.417,27.3468686868687
-13.833,131.183,27.8858870967742
-14.45,132.267,30.193023255814
-11.15,132.133,28.5607142857143
-11.65,133.383,28.3935353535353
-13.333,133.083,27.4816326530612
-13.667,134.333,27.8665322580645
-13.983,136.467,27.3457350272232
-13.767,143.117,26.2887096774193
-12.783,143.3,26.4153846153846
-14.967,145.317,26.7354838709677
-16.45,123,32.21
-18.683,121.783,33.8912280701754
-17.583,123.817,29.6923387096774
-15.517,123.15,29.3931451612903
-16.417,126.1,30.5655737704918
-15.383,126.317,31.45
-16.633,128.45,30.295564516129
-17.383,131.117,27.9026666666667
-18.333,130.633,28.1641129032258
-16.4,131.017,28.4351239669422
-16.433,136.067,28.6774193548387
-18.65,135.95,31.3284090909091
-17.2,137.933,29.2896551724138
-17.75,139.533,28.1862903225806
-18.75,138.7,29.0483870967742
-17.683,141.067,28.8709677419355
-18.3,143.533,27.0935483870968
-16,144.067,25.8717741935484
-20.1,119.583,34.3183333333333
-23.033,115.033,36.0098360655738
-20.15,127.983,34.2203703703704
-22.45,133.633,27.2315151515152
-22.917,139.9,28.558064516129
-24.367,139.467,31.6475409836066
-20.667,140.5,30.2802419354839
-21.8,139.917,28.9318548387097
-20.667,141.733,29.9822580645162
-21.833,140.883,29.5455284552845
-20.733,143.133,32.1016393442623
-22.367,143.083,28.9793522267207
-20.817,144.233,27.8712550607287
-24.267,144.433,31.3016949152542
-24.883,146.25,28.5209677419355
-20.55,147.833,24.6630952380952
-20.533,150.383,25.9584577114428
-24.15,151.883,26.1192307692308
-27.717,114.167,26.0152173913043
-29.267,117.683,30.3354166666667
-29.2,116.017,26.3979797979798
-27.283,120.1,30.4372549019608
-28.5,119.75,29.535
-28.883,121.317,26.254435483871
-25.783,122.967,32.1070175438597
-26.133,126.583,29.173417721519
-25.317,131.75,27.6191011235955
-25.85,133.3,29.7
-28.067,145.683,26.1032608695652
-28.033,147.483,27.611320754717
-26.483,147.967,28.1016129032258
-28.05,148.6,24.9060483870968
-27.15,149.067,27.4629032258065
-26.567,151.833,21.7060646900269
-28.633,153.633,23.604435483871
-32.45,123.867,24.3883333333333
-32.2,127.533,20.3322580645161
-32.233,126.283,19.7043010752688
-30.717,134.583,24.9637096774194
-30.6,138.417,25.4346774193548
-32.567,139.567,21.951814516129
-34.533,144.833,22.5073863636364
-35.033,117.883,19.8129032258064
-38.317,141.467,15.9911290322581
-14.083,126.383,28.3725806451613
-12.6,131.3,27.7658585858586
-12.05,134.233,27.6193548387097
-12,135.567,27.7303643724696
-17.9,122.317,29.8991869918699
-15.5,128.15,30.5344129554656
-15.5,147.117,26.9829268292683
-17.6,146,25.1189516129032
-19.417,146.533,22.1899193548387
-19.45,147.483,25.1463709677419
-21.667,115.117,31.0915322580645
-20.717,116.767,32.0846774193549
-21.183,119.75,32.7731854838709
-20.183,130.017,27.4806557377049
-23.467,134.683,26.26
-24.417,145.433,26.7713709677419
-24.117,148.083,27.3603448275862
-21.167,149.183,25.0056451612903
-22.467,150.183,24.8125
-25.9,113.583,26.7318548387097
-27.417,141.817,28.1774193548387
-26.65,150.183,24.4911290322581
-25.617,151.617,25.1576612903226
-27.55,151.917,20.2463414634146
-25.317,152.883,24.5028340080972
-27.217,153.1,24.1020161290322
-30.3,115.033,23.3203389830508
-31.467,115.867,22.8161290322581
-33.3,117.333,23.7049180327869
-32.45,118.9,25.3
-30.283,116.667,24.4004032258065
-31.3,116.833,24.325
-33.883,119.1,18.8548057259714
-34.033,115.1,18.7786290322581
-32.217,121.75,21.0906882591093
-33.55,120.7,19.5491935483871
-34.95,116.717,18.1677419354839
-34.75,137.517,19.7125
-34.25,135.717,19.5416666666667
-33.783,138.217,19.7895833333333
-32.883,144.317,23.6153225806452
-30.85,143.067,25.5591666666667
-34.717,146.517,21.8347708894879
-30.983,148.383,23.4032258064516
-31.317,149.267,19.6850806451613
-30.95,150.25,22.1883064516129
-30.533,151.617,16.6495967741935
-33.283,151.217,19.2096103896104
-31.883,152.517,21.1454166666667
-35.717,137.517,17.6133333333333
-37.183,139.8,15.9162037037037
-35.067,139.233,18.7316666666667
-35.117,142,21.1397849462365
-37.017,141.267,17.8427419354839
-36.667,142.3,18.8610215053764
-37.7,142.933,16.8377016129032
-37.733,145.1,18.9943548387097
-36.067,146.95,20.5838709677419
-37.75,147.133,17.0456989247312
-37.683,148.467,19.010685483871
-35.533,148.767,10.5489361702128
-35.9,150.15,19.7116935483871
-35.083,150.8,20.7396166134185
-41,145.733,15.8733870967742
-42.983,145.5,14.5254032258064
-40.717,148.117,17.8953629032258
