2009 Fuel Efficiency Data
Source: http://www.fueleconomy.gov
https://www.fueleconomy.gov/feg/download.shtml
Notes: Data columns reduced from original data file.

Class,Make,Model,NumCyl,CityMPG,HighwayMPG,CombinedMPG
MINICOMPACT CARS,PORSCHE,CARRERA 4 CABRIOLET,6,22.8,36.4,27.4082
MINICOMPACT CARS,PORSCHE,CARRERA 4 COUPE,6,23,36.8,27.6692
MINICOMPACT CARS,PORSCHE,CARRERA 4 S CABRIOLET,6,23.2,37.1,27.9047
MINICOMPACT CARS,PORSCHE,CARRERA 4 S COUPE,6,23,36,27.4627
MINICOMPACT CARS,PORSCHE,CARRERA 4 S TARGA,6,23.2,37.1,27.9047
MINICOMPACT CARS,PORSCHE,CARRERA 4 TARGA,6,22.8,36.4,27.4082
MINICOMPACT CARS,VOLKSWAGEN,NEW BEETLE CONVERTIBLE,5,24.8494,39.7251,29.8854
SUBCOMPACT CARS,AUDI,A4 CABRIOLET,4,28.7642,42.4439,33.6437
SUBCOMPACT CARS,AUDI,A4 CABRIOLET QUATTRO,4,25.9973,37.8274,30.2551
SUBCOMPACT CARS,AUDI,A4 CABRIOLET QUATTRO,6,21.3,34.6,25.755
SUBCOMPACT CARS,AUDI,A5 QUATTRO,6,22.0916,36.1369,26.7744
SUBCOMPACT CARS,AUDI,S4 CABRIOLET,8,16.817,28.8042,20.6921
SUBCOMPACT CARS,AUDI,S5,8,20.4,31,24.1098
SUBCOMPACT CARS,AUDI,TT COUPE,4,29.1,43.6,34.2214
SUBCOMPACT CARS,AUDI,TT COUPE QUATTRO,4,27.1619,39.0337,31.4689
SUBCOMPACT CARS,AUDI,TT COUPE QUATTRO,6,22.3987,33.5729,26.3444
SUBCOMPACT CARS,BENTLEY,CONTINENTAL GTC,12,12.5188,23.259,15.8025
SUBCOMPACT CARS,BMW,128I,6,23.0549,39.5165,28.3738
SUBCOMPACT CARS,BMW,128I CONVERTIBLE,6,22.5809,38.0812,27.6444
SUBCOMPACT CARS,BMW,135I,6,22,35.5,26.5421
SUBCOMPACT CARS,BMW,135I CONVERTIBLE,6,21.7374,36.3061,26.5275
SUBCOMPACT CARS,BMW,328CI,6,23.0549,39.5165,28.3738
SUBCOMPACT CARS,BMW,328CI CONVERTIBLE,6,22.5809,38.0812,27.6444
SUBCOMPACT CARS,BMW,328CI XDRIVE,6,21.7665,35.2524,26.2928
SUBCOMPACT CARS,BMW,335CI,6,21.7374,36.3061,26.5275
SUBCOMPACT CARS,BMW,335CI CONVERTIBLE,6,21.7374,36.3061,26.5275
SUBCOMPACT CARS,BMW,335CI XDRIVE,6,21.0675,34.6141,25.5708
SUBCOMPACT CARS,BMW,650CI,8,19.0748,31.474,23.185
SUBCOMPACT CARS,BMW,650CI CONVERTIBLE,8,18.7,31.8,22.9554
SUBCOMPACT CARS,BMW,M3 CONVERTIBLE,8,16.671,27.3704,20.2296
SUBCOMPACT CARS,BMW,M3 COUPE,8,17.1163,27.8771,20.7145
SUBCOMPACT CARS,BMW,M6,10,13.1051,23.7127,16.4081
SUBCOMPACT CARS,BMW,M6 CONVERTIBLE,10,12.9504,24.0505,16.3451
SUBCOMPACT CARS,CHEVROLET,AVEO 5,4,31.8,47.9,37.467
SUBCOMPACT CARS,CHEVROLET,COBALT,4,30.1,46.8,35.858
SUBCOMPACT CARS,FORD,MUSTANG,6,20.4019,33.1455,24.6702
SUBCOMPACT CARS,FORD,MUSTANG,8,18.8917,29.8677,22.6348
SUBCOMPACT CARS,HONDA,CIVIC,4,31,50.5,37.5195
SUBCOMPACT CARS,HONDA,CIVIC,4,32.8723,51.0436,39.1429
SUBCOMPACT CARS,LEXUS,IS 250,6,26.6,40.7,31.5127
SUBCOMPACT CARS,LEXUS,IS 250 AWD,6,24.5898,36.2901,28.7628
SUBCOMPACT CARS,LEXUS,IS 350,6,22.4334,34.3402,26.5808
SUBCOMPACT CARS,LEXUS,IS F,8,19.6214,32.0888,23.7788
SUBCOMPACT CARS,MASERATI,MASERATI GRANTURISMO,8,15.6486,26.9455,19.2874
SUBCOMPACT CARS,MAZDA,MAZDA RX-8,2,20.2,32.1,24.2445
SUBCOMPACT CARS,MERCEDES-BENZ,CLK350,6,21.3,35.5,25.9756
SUBCOMPACT CARS,MERCEDES-BENZ,CLK350 (CABRIOLET),6,21.2,35.4,25.8697
SUBCOMPACT CARS,MERCEDES-BENZ,CLK550,8,18.2,30.3,22.1871
SUBCOMPACT CARS,MERCEDES-BENZ,CLK550 (CABRIOLET),8,18,29.5,21.8294
SUBCOMPACT CARS,MINI,MINI CLUBMAN,4,32.82,48.522,38.4139
SUBCOMPACT CARS,MINI,MINI CLUBMAN S,4,29.7707,44.4889,34.978
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,4,24.2132,36.2744,28.4735
SUBCOMPACT CARS,MITSUBISHI,ECLIPSE,6,20.1499,33.2499,24.4922
SUBCOMPACT CARS,NISSAN,ALTIMA COUPE,4,29.316,43.3105,34.3039
SUBCOMPACT CARS,NISSAN,ALTIMA COUPE,6,24.1944,35.6452,28.283
SUBCOMPACT CARS,NISSAN,GT-R,6,19.7992,29.3353,23.1918
SUBCOMPACT CARS,PONTIAC,G3/WAVE 5,4,31.8,47.9,37.467
SUBCOMPACT CARS,PONTIAC,G5,4,30.1,46.8,35.858
SUBCOMPACT CARS,PONTIAC,G5 GT,4,30.1,46.8,35.858
SUBCOMPACT CARS,ROUSH PERFORMANCE,ROUSH STAGE3 MUSTANG,8,17,27.8,20.6016
SUBCOMPACT CARS,SAAB,9-3 CONVERTIBLE,6,18.9663,33.2987,23.5223
SUBCOMPACT CARS,TOYOTA,SCION TC,4,26,40.2,30.9139
SUBCOMPACT CARS,TOYOTA,SCION XD,4,33.5,45.1,37.8849
SUBCOMPACT CARS,TOYOTA,YARIS,4,37.4655,48.8826,41.8657
SUBCOMPACT CARS,VOLKSWAGEN,EOS,4,28.3,41.7,33.0841
SUBCOMPACT CARS,VOLKSWAGEN,NEW BEETLE,5,25.1672,40.8,30.4106
SUBCOMPACT CARS,VOLVO,C70 CONVERTIBLE,5,23,36.5,27.5924
COMPACT CARS,ACURA,TSX,4,27.1,42.3,32.3274
COMPACT CARS,AUDI,A4,4,28.7642,42.4439,33.6437
COMPACT CARS,AUDI,A4 QUATTRO,4,25.9973,37.8274,30.2551
COMPACT CARS,AUDI,A4 QUATTRO,6,22.0916,36.1369,26.7744
COMPACT CARS,BENTLEY,AZURE,8,11.5028,21.0609,14.4549
COMPACT CARS,BENTLEY,BROOKLANDS,8,11.7,19.9,14.3634
COMPACT CARS,BENTLEY,CONTINENTAL GT,12,12.8,23.8,16.1613
COMPACT CARS,BMW,328I,6,23.0549,39.5165,28.3738
COMPACT CARS,BMW,328I XDRIVE,6,21.7665,35.2524,26.2928
COMPACT CARS,BMW,335I,6,21.7374,36.3061,26.5275
COMPACT CARS,BMW,335I XDRIVE,6,21.0675,34.6141,25.5708
COMPACT CARS,BMW,M3,8,17.1163,27.8771,20.7145
COMPACT CARS,CHEVROLET,AVEO,4,31.8,47.9,37.467
COMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,4,25.3,40.1,30.3388
COMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,6,15.6,26.5,19.1433
COMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,6,22.4,36.5,27.1132
COMPACT CARS,CHRYSLER,SEBRING CONVERTIBLE,6,20.3,37.6,25.6005
COMPACT CARS,DODGE,CHALLENGER,6,21.5,34.2,25.8136
COMPACT CARS,DODGE,CHALLENGER,8,19.3,34.5,24.0727
COMPACT CARS,DODGE,CHALLENGER,8,16.3,26,19.5886
COMPACT CARS,FORD,FOCUS  FWD,4,30.6403,45.8151,36.0071
COMPACT CARS,HONDA,ACCORD 2DR COUPE,4,26.1816,42.2228,31.5807
COMPACT CARS,HONDA,ACCORD 2DR COUPE,6,23.7,39.8329,28.9822
COMPACT CARS,HONDA,CIVIC HYBRID,4,54.6,65,58.8362
COMPACT CARS,HYUNDAI,ACCENT,4,33.1,49.5,38.8996
COMPACT CARS,KIA,RIO,4,33.9394,49.0501,39.4017
COMPACT CARS,LEXUS,GS 450H,6,27.9,35.3494,30.823
COMPACT CARS,MAZDA,MAZDA3,4,28.5434,42.5117,33.4961
COMPACT CARS,MAZDA,MAZDA3,4,27.6239,39.8231,32.0408
COMPACT CARS,MERCEDES-BENZ,C300,6,16.4,26.4,19.7699
COMPACT CARS,MERCEDES-BENZ,C300,6,22.3,35.5,26.7811
COMPACT CARS,MERCEDES-BENZ,C300 4MATIC,6,16,25.6,19.2481
COMPACT CARS,MERCEDES-BENZ,C300 4MATIC,6,21.8,34.2,26.0503
COMPACT CARS,MERCEDES-BENZ,C350,6,21.4424,34.811,25.9222
COMPACT CARS,MERCEDES-BENZ,C63 AMG,8,15.2,26.7,18.8544
COMPACT CARS,MERCEDES-BENZ,CL550 4MATIC,8,17.4,29.2,21.2675
COMPACT CARS,MERCEDES-BENZ,CL600,12,13.6,23,16.6649
COMPACT CARS,MERCEDES-BENZ,CL63 AMG,8,14,24.7,17.39
COMPACT CARS,MERCEDES-BENZ,CL65 AMG,12,13.7,23.4,16.8416
COMPACT CARS,MERCEDES-BENZ,CLS550,8,17.3,29,21.1376
COMPACT CARS,MERCEDES-BENZ,CLS63 AMG,8,14.7,24.8,17.9985
COMPACT CARS,MITSUBISHI,LANCER,4,21.5,34.9,25.9906
COMPACT CARS,MITSUBISHI,LANCER,4,27.6669,39.7932,32.0637
COMPACT CARS,MITSUBISHI,LANCER,4,26.5,37.6,30.5597
COMPACT CARS,MITSUBISHI,LANCER EVOLUTION,4,20.6,31,24.2629
COMPACT CARS,PONTIAC,G3/WAVE,4,31.8,47.9,37.467
COMPACT CARS,PONTIAC,G6,4,27.8,46.8,34.0141
COMPACT CARS,PONTIAC,G6,4,27.4,42.6,32.6409
COMPACT CARS,PONTIAC,G6,6,21.5,36.4,26.3546
COMPACT CARS,PONTIAC,G6,6,22.9,40.3,28.4222
COMPACT CARS,PONTIAC,G6,6,21.4,35.6,26.0815
COMPACT CARS,PONTIAC,G6,6,19,31,23.0078
COMPACT CARS,ROLLS-ROYCE,PHANTOM COUPE,12,13.9939,24.2,17.2718
