2009 Fuel Efficiency Data
Source: http://www.fueleconomy.gov
https://www.fueleconomy.gov/feg/download.shtml
Notes: Data columns reduced from original data file.

Class,Make,Model,NumCyl,CityMPG,HighwayMPG,CombinedMPG
LARGE CARS,HONDA,ACCORD 4DR SEDAN,4,26.4401,42.7553,31.9215
LARGE CARS,HONDA,ACCORD 4DR SEDAN,6,23.7657,40.923,29.2922
LARGE CARS,HYUNDAI,AZERA,6,22.9,36.2,27.436
LARGE CARS,HYUNDAI,AZERA,6,21.4,35.6,26.0815
LARGE CARS,HYUNDAI,GENESIS,6,22.9,38.3,27.9589
LARGE CARS,HYUNDAI,GENESIS,8,20.7,34.2,25.1712
LARGE CARS,HYUNDAI,SONATA,4,27.5,44.4,33.1839
LARGE CARS,HYUNDAI,SONATA,6,24.1,40.1,29.3742
LARGE CARS,INFINITI,M35,6,20.8,34.1997,25.2523
LARGE CARS,INFINITI,M35X,6,19.6499,30.5499,23.4083
LARGE CARS,INFINITI,M45,8,19.5,29.6,23.0373
LARGE CARS,INFINITI,M45X,8,17.3,27.2,20.6885
LARGE CARS,JAGUAR,JAGUAR SUPER V8,8,18.7499,30.4,22.6572
LARGE CARS,JAGUAR,JAGUAR VDP,8,20.0499,34.3499,24.6718
LARGE CARS,JAGUAR,JAGUAR XJ,8,20.3499,34.4482,24.9437
LARGE CARS,JAGUAR,JAGUAR XJ8L,8,20.3499,34.4482,24.9437
LARGE CARS,JAGUAR,JAGUAR XJR,8,18.7499,30.4,22.6572
LARGE CARS,KIA,AMANTI,6,20.7,33.8,25.0729
LARGE CARS,LINCOLN-MERCURY,GRAND MARQUIS FFV,8,14.4379,23.9476,17.5793
LARGE CARS,LINCOLN-MERCURY,GRAND MARQUIS FFV,8,19.7458,33.0928,24.1242
LARGE CARS,LINCOLN-MERCURY,MKS AWD,6,20.3377,31.3651,24.1601
LARGE CARS,LINCOLN-MERCURY,MKS FWD,6,20.8468,33.0246,24.9943
LARGE CARS,LINCOLN-MERCURY,SABLE AWD,6,20.6,33.2,24.8427
LARGE CARS,LINCOLN-MERCURY,SABLE FWD,6,22.3,38.5,27.5088
LARGE CARS,LINCOLN-MERCURY,TOWN CAR FFV,8,14.4379,23.9476,17.5793
LARGE CARS,LINCOLN-MERCURY,TOWN CAR FFV,8,19.7458,33.0928,24.1242
LARGE CARS,MASERATI,MASERATI QUATTROPORTE,8,14.3993,24.1499,17.5964
LARGE CARS,MERCEDES-BENZ,MAYBACH 57,12,12.4,21.4,15.2945
LARGE CARS,MERCEDES-BENZ,MAYBACH 57S,12,12.3,21.4,15.2106
LARGE CARS,MERCEDES-BENZ,MAYBACH 62,12,12.4,21.4,15.2945
LARGE CARS,MERCEDES-BENZ,MAYBACH 62S,12,12.3,21.4,15.2106
LARGE CARS,MERCEDES-BENZ,S550,8,17.9,30.5,21.9875
LARGE CARS,MERCEDES-BENZ,S550 4MATIC,8,17.5,29.8,21.4919
LARGE CARS,MERCEDES-BENZ,S600,12,13.8,24,17.0634
LARGE CARS,MERCEDES-BENZ,S63 AMG,8,13.8,24,17.0634
LARGE CARS,MERCEDES-BENZ,S65 AMG,12,13.5,23.1,16.6054
LARGE CARS,PONTIAC,G8,6,21.4,34.6,25.8353
LARGE CARS,PONTIAC,G8,8,18.2,32.9,22.7803
LARGE CARS,ROLLS-ROYCE,PHANTOM EWB,12,13.9939,24.2,17.2718
LARGE CARS,TOYOTA,AVALON,6,24.5,39.8,29.6248
MINIVAN - 2WD,CHRYSLER,TOWN & COUNTRY FWD,6,14.2,22.9,17.1283
MINIVAN - 2WD,CHRYSLER,TOWN & COUNTRY FWD,6,20.8,33.0988,24.9763
MINIVAN - 2WD,CHRYSLER,TOWN & COUNTRY FWD,6,19.7,31.9,23.7952
MINIVAN - 2WD,CHRYSLER,TOWN & COUNTRY FWD,6,21.4,35.1,25.9596
MINIVAN - 2WD,DODGE,CARAVAN FWD,6,14.2,22.9,17.1283
MINIVAN - 2WD,DODGE,CARAVAN FWD,6,20.8,33.0988,24.9763
MINIVAN - 2WD,DODGE,CARAVAN FWD,6,19.7,31.9,23.7952
MINIVAN - 2WD,DODGE,CARAVAN FWD,6,21.4,35.1,25.9596
MINIVAN - 2WD,HONDA,ODYSSEY 2WD,6,19.7,32.4,23.9191
MINIVAN - 2WD,HONDA,ODYSSEY 2WD,6,21.2,35.5,25.8937
MINIVAN - 2WD,HYUNDAI,ENTOURAGE,6,19.8,31.5,23.7736
MINIVAN - 2WD,KIA,SEDONA,6,19.8,31.5,23.7736
MINIVAN - 2WD,MAZDA,MAZDA 5,4,26.4,38.1,30.6332
MINIVAN - 2WD,NISSAN,QUEST,6,20.2869,32.7073,24.4681
MINIVAN - 2WD,TOYOTA,SIENNA 2WD,6,22.4,34,26.4628
MINIVAN - 2WD,VW,ROUTAN FWD,6,19.7,31.9,23.7952
MINIVAN - 2WD,VW,ROUTAN FWD,6,21.4,35.1,25.9596
MINIVAN - 4WD,TOYOTA,SIENNA 4WD,6,19.6,29.2,23.0032
S.U.V. - 2WD,BUICK,ENCLAVE FWD,6,20.6,33,24.7921
S.U.V. - 2WD,CADILLAC,ESCALADE 2WD,8,11.7,19.5,14.2683
S.U.V. - 2WD,CADILLAC,ESCALADE 2WD,8,15,26.6,18.6623
S.U.V. - 2WD,CADILLAC,ESCALADE 2WD HYBRID,8,26.8,30.1459,28.2089
